nombre;numero;costo;metodo;alpha
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt;1;364165;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt;1;364506;f2;0.5
ORTEC-VRPTW-ASYM-30d4e457-d1-n290-k20.txt;0;457201;f2;1
ORTEC-VRPTW-ASYM-30d4e457-d1-n290-k20.txt;0;461611;f2;1
ORTEC-VRPTW-ASYM-efe3fa8e-d1-n346-k25.txt;1;252178;f2;1
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt;1;365452;allmustdispatch;NaN
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt;1;346014;allmustdispatch;NaN
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt;1;348500;allmustdispatch;NaN
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20.txt;1;345723;knearestimedistance;2
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;588872;knearestimedistance;1
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;624948;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-4e39e33e-d1-n331-k31.txt;135;380730;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-77e75b62-d1-n227-k15.txt;55;491429;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-ed97d7dc-d1-n416-k23.txt;212;514444;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45.txt;46;402946;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-e7835db2-d1-n650-k42.txt;118;433664;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15.txt;69;554889;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-7f658fd0-d1-n335-k22.txt;80;443221;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-3ff97275-d1-n426-k30.txt;31;313397;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-e2f2ccf7-d1-n285-k25.txt;242;241273;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;624948;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-4e39e33e-d1-n331-k31.txt;135;380730;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-77e75b62-d1-n227-k15.txt;55;491429;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;626392;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-4e39e33e-d1-n331-k31.txt;135;381492;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-77e75b62-d1-n227-k15.txt;55;497938;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-ed97d7dc-d1-n416-k23.txt;212;513591;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45.txt;46;403207;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-e7835db2-d1-n650-k42.txt;118;437136;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15.txt;69;559051;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-7f658fd0-d1-n335-k22.txt;80;444094;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-3ff97275-d1-n426-k30.txt;31;314590;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-e2f2ccf7-d1-n285-k25.txt;242;242164;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;582169;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-4e39e33e-d1-n331-k31.txt;135;365282;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-77e75b62-d1-n227-k15.txt;55;481958;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-ed97d7dc-d1-n416-k23.txt;212;497687;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45.txt;46;385516;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-e7835db2-d1-n650-k42.txt;118;440923;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15.txt;69;536865;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-7f658fd0-d1-n335-k22.txt;80;397968;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-3ff97275-d1-n426-k30.txt;31;313652;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;580084;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;580084;modifiedknearest;NaN
ORTEC-VRPTW-ASYM-d5a2598f-d1-n344-k22.txt;0;579398;modifiedknearest;NaN
